word,neg_tf,bdc,neg_tf_bdc
提升,29.1,0.35,10.06
欧元,16.63,0.6,9.97
人,228.6,0.04,9.92
油泵,16.63,0.6,9.91
剐,16.63,0.6,9.91
跑,137.16,0.07,9.89
不足,45.72,0.22,9.88
毛病,41.56,0.24,9.79
将,91.44,0.11,9.78
副驾驶,33.25,0.29,9.75
硬伤,12.47,0.77,9.66
失去,12.47,0.77,9.66
商业,12.47,0.77,9.66
热车,12.47,0.77,9.66
奇葩,12.47,0.77,9.66
干扰,12.47,0.77,9.66
泵,12.47,0.77,9.66
被告,12.47,0.77,9.66
系统,83.13,0.11,9.55
真的,95.6,0.1,9.54
喷漆,16.63,0.57,9.52
共计,24.94,0.38,9.38
实用,24.94,0.37,9.32
部分,78.97,0.12,9.1
锁车,16.63,0.54,9.06
外形,29.1,0.31,9.05
听到,20.78,0.44,9.04
转向,62.35,0.14,9.02
订金,20.78,0.43,9
更加,29.1,0.31,8.94
失望,29.1,0.31,8.93
退车,12.47,0.71,8.87
锦湖,12.47,0.71,8.87
接缝处,12.47,0.71,8.87
坚决,12.47,0.71,8.87
风窗,12.47,0.71,8.87
约合,12.47,0.71,8.83
底下,12.47,0.71,8.83
坑,16.63,0.53,8.77
性价比,45.72,0.19,8.71
却,91.44,0.1,8.7
竟然,29.1,0.3,8.7
同比,37.41,0.23,8.67
天窗,108.07,0.08,8.52
重大,20.78,0.41,8.48
网站,20.78,0.41,8.48
没,178.73,0.05,8.46
发现,116.38,0.07,8.4
作假,8.31,1,8.31
左右摇摆,8.31,1,8.31
走道,8.31,1,8.31
总局,8.31,1,8.31
吱吱响,8.31,1,8.31
长鸣,8.31,1,8.31
杂牌,8.31,1,8.31
予以,8.31,1,8.31
愚弄,8.31,1,8.31
有天,8.31,1,8.31
游泳池,8.31,1,8.31
隐瞒,8.31,1,8.31
异,8.31,1,8.31
一前,8.31,1,8.31
啸叫,8.31,1,8.31
小石子,8.31,1,8.31
小点,8.31,1,8.31
相片,8.31,1,8.31
系统故障,8.31,1,8.31
沃,8.31,1,8.31
嗡嗡,8.31,1,8.31
为题,8.31,1,8.31
微博,8.31,1,8.31
推卸责任,8.31,1,8.31
头疼,8.31,1,8.31
呫,8.31,1,8.31
所配,8.31,1,8.31
水壶,8.31,1,8.31
水泵,8.31,1,8.31
失误,8.31,1,8.31
渗漏,8.31,1,8.31
烧坏,8.31,1,8.31
乳化,8.31,1,8.31
忍受,8.31,1,8.31
轻飘飘,8.31,1,8.31
前侧,8.31,1,8.31
噗,8.31,1,8.31
配电,8.31,1,8.31
没风,8.31,1,8.31
马哥,8.31,1,8.31
马儿,8.31,1,8.31
麻将机,8.31,1,8.31
罗湖,8.31,1,8.31
乱收费,8.31,1,8.31
录,8.31,1,8.31
凉,8.31,1,8.31
冷启动,8.31,1,8.31
亏损,8.31,1,8.31
开回去,8.31,1,8.31
拒赔,8.31,1,8.31
拒,8.31,1,8.31
啾,8.31,1,8.31
接通,8.31,1,8.31
嘉兴,8.31,1,8.31
嚯,8.31,1,8.31
恢复正常,8.31,1,8.31
黄金眼,8.31,1,8.31
糊味,8.31,1,8.31
呼噜,8.31,1,8.31
后翼,8.31,1,8.31
狠,8.31,1,8.31
过长,8.31,1,8.31
咣,8.31,1,8.31
管理局,8.31,1,8.31
搞不懂,8.31,1,8.31
刚过,8.31,1,8.31
负面影响,8.31,1,8.31
费解,8.31,1,8.31
犯病,8.31,1,8.31
返修率,8.31,1,8.31
烦人,8.31,1,8.31
发放,8.31,1,8.31
抵制,8.31,1,8.31
低档车,8.31,1,8.31
到头,8.31,1,8.31
挡换,8.31,1,8.31
待见,8.31,1,8.31
大有人在,8.31,1,8.31
大拇指,8.31,1,8.31
蹿,8.31,1,8.31
臭车,8.31,1,8.31
惨淡,8.31,1,8.31
财务,8.31,1,8.31
不尽人意,8.31,1,8.31
悲哀,8.31,1,8.31
帮帮,8.31,1,8.31
半轴,8.31,1,8.31
斑点,8.31,1,8.31
拔凉,8.31,1,8.31
傲慢,8.31,1,8.31
凹陷,8.31,1,8.31
导航,62.35,0.13,8.29
师傅,20.78,0.4,8.29
消费者,91.44,0.09,8.27
速,87.29,0.09,8.23
不能,87.29,0.09,8.22
灯不亮,12.47,0.65,8.16
打火,12.47,0.65,8.16
低速,37.41,0.22,8.11
说实话,37.41,0.22,8.06
ABS,16.63,0.48,8.05
舒适,24.94,0.32,8.04
检查,29.1,0.28,8.02
过后,20.78,0.38,7.96
亮,41.56,0.19,7.92
增长,24.94,0.32,7.91
底盘,99.75,0.08,7.89
SUV,66.5,0.12,7.83
市场,83.13,0.09,7.81
没用,16.63,0.47,7.78
减配,16.63,0.47,7.77
尴尬,16.63,0.47,7.77
报废,16.63,0.47,7.77
舒适性,49.88,0.16,7.74
出来,70.66,0.11,7.72
没什么,37.41,0.2,7.63
起火,12.47,0.61,7.6
驾校,12.47,0.61,7.6
防冻液,12.47,0.61,7.6
而,99.75,0.08,7.52
排除,16.63,0.45,7.52
原车,33.25,0.22,7.48
中国,70.66,0.1,7.41
时常,12.47,0.59,7.38
声响,12.47,0.59,7.38
强多,12.47,0.59,7.38
碰,12.47,0.59,7.38
进水,12.47,0.59,7.38
高压,12.47,0.59,7.38
好像,37.41,0.2,7.37
还,299.26,0.02,7.31
消耗,20.78,0.35,7.29
哒,20.78,0.35,7.29
作为,49.88,0.15,7.28
漆,16.63,0.44,7.27
中,207.82,0.03,7.23
品牌,187.04,0.04,7.23
车子,83.13,0.09,7.21
软,20.78,0.35,7.2
舒服,45.72,0.16,7.19
难受,12.47,0.58,7.19
支架,12.47,0.57,7.14
水箱,12.47,0.57,7.14
确认,12.47,0.57,7.14
点火,12.47,0.57,7.14
遇到,33.25,0.21,7.13
牌,37.41,0.19,7.11
你们,37.41,0.19,7.11
庞大,24.94,0.28,7.06
拆,16.63,0.42,7.04
特别,74.82,0.09,7.03
高速,112.22,0.06,7
天津,20.78,0.34,6.97
又,178.73,0.04,6.93
功能,70.66,0.1,6.9
肉,24.94,0.27,6.78
油钱,8.31,0.82,6.78
样本,8.31,0.82,6.78
小视频,8.31,0.82,6.78
无力,8.31,0.82,6.78
提示音,8.31,0.82,6.78
坛子,8.31,0.82,6.78
太糙,8.31,0.82,6.78
随车,8.31,0.82,6.78
松动,8.31,0.82,6.78
水军,8.31,0.82,6.78
上山,8.31,0.82,6.78
人类,8.31,0.82,6.78
轻微,8.31,0.82,6.78
敲,8.31,0.82,6.78
欠,8.31,0.82,6.78
普利司通,8.31,0.82,6.78
尿性,8.31,0.82,6.78
每车,8.31,0.82,6.78
里程表,8.31,0.82,6.78
老车,8.31,0.82,6.78
来电,8.31,0.82,6.78
控诉,8.31,0.82,6.78
空档,8.31,0.82,6.78
境地,8.31,0.82,6.78
甲醛,8.31,0.82,6.78
韩国政府,8.31,0.82,6.78
跌幅,8.31,0.82,6.78
蛋,8.31,0.82,6.78
打击,8.31,0.82,6.78
惨,8.31,0.82,6.78
不符,8.31,0.82,6.78
别提,8.31,0.82,6.78
薄,8.31,0.82,6.78
罢工,8.31,0.82,6.78
知名,12.47,0.54,6.75
跳,12.47,0.54,6.75
玩,37.41,0.18,6.73
选择,33.25,0.2,6.66
减震,24.94,0.27,6.63
一直,120.54,0.05,6.57
停车,37.41,0.18,6.56
整体,49.88,0.13,6.48
绝对,20.78,0.31,6.48
谢谢,20.78,0.31,6.47
退,12.47,0.52,6.47
那位,12.47,0.52,6.47
灯亮,12.47,0.52,6.47
刹车灯,12.47,0.52,6.47
那,128.85,0.05,6.45
周,12.47,0.51,6.42
代步车,12.47,0.51,6.42
安全性,16.63,0.38,6.37
右,29.1,0.22,6.32
要求,70.66,0.09,6.29
尤其,37.41,0.17,6.28
倒车,62.35,0.1,6.27
人性化,20.78,0.3,6.27
出,103.91,0.06,6.23
怀疑,20.78,0.3,6.21
成,49.88,0.12,6.2
线条,12.47,0.49,6.15
相比之下,16.63,0.37,6.14
股份,12.47,0.49,6.14
生命,16.63,0.37,6.12
储物,12.47,0.49,6.12
市区,33.25,0.18,6.1
处理,37.41,0.16,6.08
效果,41.56,0.15,6.06
售后,29.1,0.21,6.02
那个,58.19,0.1,5.98
后备箱,45.72,0.13,5.98
年轻,16.63,0.36,5.96
科技,24.94,0.24,5.95
接受,45.72,0.13,5.89
涉及,12.47,0.47,5.89
上路,12.47,0.47,5.89
求助,12.47,0.47,5.89
转换,8.31,0.71,5.88
油封,8.31,0.71,5.88
一晃,8.31,0.71,5.88
橡胶,8.31,0.71,5.88
瞎,8.31,0.71,5.88
无语,8.31,0.71,5.88
停靠,8.31,0.71,5.88
太肉,8.31,0.71,5.88
收费,8.31,0.71,5.88
荣,8.31,0.71,5.88
磨,8.31,0.71,5.88
没人,8.31,0.71,5.88
苦,8.31,0.71,5.88
开回,8.31,0.71,5.88
淮安,8.31,0.71,5.88
钢梁,8.31,0.71,5.88
费油,8.31,0.71,5.88
而后,8.31,0.71,5.88
断掉,8.31,0.71,5.88
带我去,8.31,0.71,5.88
大梁,8.31,0.71,5.88
错误,8.31,0.71,5.88
处罚,8.31,0.71,5.88
草,8.31,0.71,5.88
不亮,8.31,0.71,5.88
按时,8.31,0.71,5.88
后,253.54,0.02,5.87
~,29.1,0.2,5.84
原厂,20.78,0.28,5.8
优势,20.78,0.28,5.78
撞车,12.47,0.46,5.77
刹车片,12.47,0.46,5.77
挺,33.25,0.17,5.76
有时候,20.78,0.28,5.76
烂,20.78,0.28,5.76
踩,24.94,0.23,5.75
有些,49.88,0.11,5.73
喇叭,33.25,0.17,5.73
同时,45.72,0.12,5.69
足够,20.78,0.27,5.67
车友,45.72,0.12,5.65
永远,16.63,0.34,5.65
很大,49.88,0.11,5.61
全部,41.56,0.14,5.61
本来,45.72,0.12,5.59
吐,20.78,0.27,5.58
理解,16.63,0.34,5.58
方案,16.63,0.34,5.58
报道,29.1,0.19,5.56
质保,20.78,0.27,5.52
带来,16.63,0.33,5.44
符合,24.94,0.22,5.41
显得,37.41,0.14,5.39
车门,45.72,0.12,5.38
低,95.6,0.06,5.37
刚,74.82,0.07,5.37
经常,45.72,0.12,5.37
地盘,20.78,0.26,5.37
起来,70.66,0.08,5.33
风格,16.63,0.32,5.33
售后服务,24.94,0.21,5.28
不知,20.78,0.25,5.28
毕竟,70.66,0.07,5.27
业务员,8.31,0.63,5.27
压缩机,8.31,0.63,5.27
推脱,8.31,0.63,5.27
太重,8.31,0.63,5.27
能比,8.31,0.63,5.27
那句话,8.31,0.63,5.27
屡,8.31,0.63,5.27
劲儿,8.31,0.63,5.27
尽快,8.31,0.63,5.27
接缝,8.31,0.63,5.27
风噪,8.31,0.63,5.27
船,8.31,0.63,5.27
传动轴,8.31,0.63,5.27
除霜,8.31,0.63,5.27
测试数据,8.31,0.63,5.27
过程,58.19,0.09,5.26
喷,16.63,0.32,5.25
审美疲劳,8.31,0.63,5.24
请求,8.31,0.63,5.24
那边,8.31,0.63,5.24
没换,8.31,0.63,5.24
卖掉,8.31,0.63,5.24
记住,8.31,0.63,5.24
挤压,8.31,0.63,5.24
黄灯,8.31,0.63,5.24
忽悠,8.31,0.63,5.24
故意,8.31,0.63,5.24
反,8.31,0.63,5.24
大修,8.31,0.63,5.24
打死,8.31,0.63,5.24
抱怨,8.31,0.63,5.24
因为,149.63,0.03,5.23
快,62.35,0.08,5.23
运动,20.78,0.25,5.21
只好,12.47,0.42,5.21
事儿,12.47,0.42,5.21
时候,133.01,0.04,5.19
加速,54.03,0.1,5.16
货,16.63,0.31,5.16
希望,54.03,0.09,5.1
车辆,124.69,0.04,5.06
想着,16.63,0.3,5.04
五年,16.63,0.3,5.04
接待,16.63,0.3,5.04
出厂,20.78,0.24,5.02
整,12.47,0.4,5.02
微型车,12.47,0.4,5.02
技术,62.35,0.08,5
平均,24.94,0.2,5
同级,29.1,0.17,4.99
车内,33.25,0.15,4.95
掉头,12.47,0.4,4.95
以及,29.1,0.17,4.93
用料,24.94,0.2,4.93
提车,74.82,0.07,4.92
难以,16.63,0.3,4.91
地方,49.88,0.1,4.9
报警,20.78,0.23,4.88
调节,24.94,0.19,4.86
内侧,16.63,0.29,4.85
却是,16.63,0.29,4.84
开到,16.63,0.29,4.84
居然,29.1,0.16,4.78
品质,12.47,0.38,4.77
责任,12.47,0.38,4.76
女士,12.47,0.38,4.76
爹,12.47,0.38,4.76
不合理,12.47,0.38,4.76
奔,12.47,0.38,4.76
资格,8.31,0.57,4.76
轴承,8.31,0.57,4.76
芯片,8.31,0.57,4.76
调到,8.31,0.57,4.76
损失,8.31,0.57,4.76
失败,8.31,0.57,4.76
枪,8.31,0.57,4.76
妈,8.31,0.57,4.76
客观,8.31,0.57,4.76
改过,8.31,0.57,4.76
扯,8.31,0.57,4.76
这样,95.6,0.05,4.74
较,54.03,0.09,4.71
钱,41.56,0.11,4.71
各位,41.56,0.11,4.71
受,29.1,0.16,4.71
店里,29.1,0.16,4.71
驾驶,74.82,0.06,4.69
上市,29.1,0.16,4.65
性能,16.63,0.28,4.61
上车,16.63,0.28,4.61
工作人员,16.63,0.28,4.61
蹭,16.63,0.28,4.61
抱,16.63,0.28,4.61
联系,12.47,0.37,4.61
建议,20.78,0.22,4.57
内,95.6,0.05,4.55
加上,16.63,0.27,4.5
只能,49.88,0.09,4.48
直,16.63,0.27,4.48
那种,41.56,0.11,4.46
楼主,24.94,0.18,4.46
能够,33.25,0.13,4.44
更换,33.25,0.13,4.41
上有,12.47,0.35,4.4
碰到,12.47,0.35,4.4
观望,12.47,0.35,4.4
宽敞,12.47,0.35,4.39
高手,12.47,0.35,4.39
防撞,12.47,0.35,4.39
刹车盘,12.47,0.35,4.39
早上,8.31,0.53,4.39
升高,8.31,0.53,4.39
哪位,8.31,0.53,4.39
韩泰,8.31,0.53,4.39
口碑,16.63,0.26,4.36
性,12.47,0.35,4.35
里,149.63,0.03,4.33
我们,74.82,0.06,4.33
顶配,16.63,0.26,4.33
别人,41.56,0.1,4.32
转,29.1,0.15,4.32
强,29.1,0.15,4.3
体现,12.47,0.34,4.28
家用,20.78,0.21,4.27
水,16.63,0.26,4.24
国家,24.94,0.17,4.19
障碍物,12.47,0.34,4.18
做一套,4.16,1,4.16
作出,4.16,1,4.16
左脚,4.16,1,4.16
最老,4.16,1,4.16
阻碍,4.16,1,4.16
总归,4.16,1,4.16
总额,4.16,1,4.16
字架,4.16,1,4.16
自新,4.16,1,4.16
自时,4.16,1,4.16
自裂,4.16,1,4.16
自愧不如,4.16,1,4.16
自救,4.16,1,4.16
自检,4.16,1,4.16
追求者,4.16,1,4.16
撞击声,4.16,1,4.16
撞掉,4.16,1,4.16
撞成,4.16,1,4.16
状物,4.16,1,4.16
装点,4.16,1,4.16
转后,4.16,1,4.16
转灯,4.16,1,4.16
转不动,4.16,1,4.16
砖家,4.16,1,4.16
专挑烂路,4.16,1,4.16
注要,4.16,1,4.16
注视,4.16,1,4.16
助力器,4.16,1,4.16
主板,4.16,1,4.16
竹叶山,4.16,1,4.16
轴门,4.16,1,4.16
重启动,4.16,1,4.16
中招,4.16,1,4.16
中汽,4.16,1,4.16
中环,4.16,1,4.16
中航,4.16,1,4.16
中国通,4.16,1,4.16
中关村,4.16,1,4.16
中港,4.16,1,4.16
中等偏上,4.16,1,4.16
致使,4.16,1,4.16
致命性,4.16,1,4.16
致冷,4.16,1,4.16
致癌物质,4.16,1,4.16
治疗,4.16,1,4.16
治,4.16,1,4.16
止,4.16,1,4.16
植入,4.16,1,4.16
支异,4.16,1,4.16
正要,4.16,1,4.16
整改,4.16,1,4.16
征兆,4.16,1,4.16
征税,4.16,1,4.16
震,4.16,1,4.16
阵亡,4.16,1,4.16
疹子,4.16,1,4.16
真牛,4.16,1,4.16
真够,4.16,1,4.16
折现,4.16,1,4.16
照路,4.16,1,4.16
招回,4.16,1,4.16
仗势欺人,4.16,1,4.16
长点,4.16,1,4.16
长大成人,4.16,1,4.16
责成,4.16,1,4.16
造假,4.16,1,4.16
赞对,4.16,1,4.16
暂且不说,4.16,1,4.16
仔细观察,4.16,1,4.16
杂费,4.16,1,4.16
杂,4.16,1,4.16
运通,4.16,1,4.16
越勇,4.16,1,4.16
越来越低,4.16,1,4.16
越多,4.16,1,4.16
愿开,4.16,1,4.16
远后,4.16,1,4.16
远高于,4.16,1,4.16
圆滚滚,4.16,1,4.16
原产,4.16,1,4.16
预料,4.16,1,4.16
逾期,4.16,1,4.16
余波未平,4.16,1,4.16
右后方,4.16,1,4.16
又会有,4.16,1,4.16
有用吗,4.16,1,4.16
有所作为,4.16,1,4.16
有嘶嘶响,4.16,1,4.16
有毒,4.16,1,4.16
油站,4.16,1,4.16
油污,4.16,1,4.16
油管,4.16,1,4.16
油灯,4.16,1,4.16
幽静,4.16,1,4.16
忧尚,4.16,1,4.16
忧伤,4.16,1,4.16
用武之地,4.16,1,4.16
涌达,4.16,1,4.16
永久,4.16,1,4.16
佣人,4.16,1,4.16
银川,4.16,1,4.16
音频设备,4.16,1,4.16
异性,4.16,1,4.16
以过,4.16,1,4.16
已难,4.16,1,4.16
一笑而过,4.16,1,4.16
一世,4.16,1,4.16
一码,4.16,1,4.16
一蹶不振,4.16,1,4.16
一刚,4.16,1,4.16
钥入,4.16,1,4.16
要弱,4.16,1,4.16
要关,4.16,1,4.16
摇晃,4.16,1,4.16
样说,4.16,1,4.16
氧化,4.16,1,4.16
养鱼,4.16,1,4.16
养成,4.16,1,4.16
羊毛出在羊身上,4.16,1,4.16
赝品,4.16,1,4.16
燕达,4.16,1,4.16
掩饰,4.16,1,4.16
严重破坏,4.16,1,4.16
严厉,4.16,1,4.16
雅虎,4.16,1,4.16
哑巴吃,4.16,1,4.16
寻常百姓,4.16,1,4.16
熏得,4.16,1,4.16
血泪,4.16,1,4.16
雪上加霜,4.16,1,4.16
雪花,4.16,1,4.16
削薄,4.16,1,4.16
选档,4.16,1,4.16
锈迹斑斑,4.16,1,4.16
锈,4.16,1,4.16
绣,4.16,1,4.16
胸,4.16,1,4.16
星之宝,4.16,1,4.16
信誉,4.16,1,4.16
信用,4.16,1,4.16
信心十足,4.16,1,4.16
新兴,4.16,1,4.16
新闻联播,4.16,1,4.16
心眼,4.16,1,4.16
心痛,4.16,1,4.16
心烦,4.16,1,4.16
效果显著,4.16,1,4.16
小油,4.16,1,4.16
小一,4.16,1,4.16
小玩意,4.16,1,4.16
小气,4.16,1,4.16
小帽子,4.16,1,4.16
小马哥,4.16,1,4.16
小黑点,4.16,1,4.16
小得多,4.16,1,4.16
小储物盒,4.16,1,4.16
销售商,4.16,1,4.16
销售方,4.16,1,4.16
消遣,4.16,1,4.16
想当年,4.16,1,4.16
响铃,4.16,1,4.16
箱支,4.16,1,4.16
箱里,4.16,1,4.16
乡间,4.16,1,4.16
显出,4.16,1,4.16
嫌小,4.16,1,4.16
下垂,4.16,1,4.16
细细的,4.16,1,4.16
洗脱,4.16,1,4.16
熄车,4.16,1,4.16
稀里糊涂,4.16,1,4.16
息火,4.16,1,4.16
唏嘘,4.16,1,4.16
吸要,4.16,1,4.16
西装笔挺,4.16,1,4.16
西藏高原,4.16,1,4.16
侮辱,4.16,1,4.16
五环,4.16,1,4.16
芜湖,4.16,1,4.16
无缘无故,4.16,1,4.16
无一例外,4.16,1,4.16
无恙,4.16,1,4.16
无形中,4.16,1,4.16
无懈可击,4.16,1,4.16
无锡,4.16,1,4.16
无胎,4.16,1,4.16
无时无刻,4.16,1,4.16
无风出,4.16,1,4.16
无动,4.16,1,4.16
沃尔夫斯堡,4.16,1,4.16
我用,4.16,1,4.16
我少,4.16,1,4.16
蜗在,4.16,1,4.16
嗡嗡响,4.16,1,4.16
嗡,4.16,1,4.16
慰问,4.16,1,4.16
未予,4.16,1,4.16
卫报,4.16,1,4.16
尾窗,4.16,1,4.16
维修期,4.16,1,4.16
微动,4.16,1,4.16
微车,4.16,1,4.16
威斯,4.16,1,4.16
危害,4.16,1,4.16
网旁,4.16,1,4.16
